date,product,product_original,unit_of_measurement,unit_of_measurement_original,min_crc,max_crc,mode_crc,avg_crc,min_dollars,max_dollars,mode_dollars,avg_dollars
2019-08-13,Cucumber,Pepino,Kilo,Kilo,200.0,300.0,250.0,256.25,0.3333333333333333,0.5,0.4166666666666667,0.4270833333333333
2019-08-13,Pineapple (Large),Piña - grande,Unit,Unidad,600.0,700.0,700.0,687.5,1.0,1.1666666666666667,1.1666666666666667,1.1458333333333333
2019-08-13,Pineapple (Medium),Piña - mediana,Unit,Unidad,500.0,600.0,600.0,571.43,0.8333333333333334,1.0,1.0,0.9523833333333332
2019-08-13,Pineapple (small),Piña - pequeña,Unit,Unidad,400.0,500.0,500.0,457.14,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7619
2019-08-13,Ripe Plantain,Plátano maduro,Unit,Unidad,150.0,180.0,170.0,167.5,0.25,0.3,0.2833333333333333,0.2791666666666667
2019-08-13,Green Plantain,Plátano verde,Unit,Unidad,150.0,180.0,170.0,167.5,0.25,0.3,0.2833333333333333,0.2791666666666667
2019-08-13,Beet,Remolacha,Unit,Unidad,150.0,250.0,200.0,196.67,0.25,0.4166666666666667,0.3333333333333333,0.3277833333333333
2019-08-13,Purple Cabbage,Repollo morado,Kilo,Kilo,500.0,600.0,500.0,528.57,0.8333333333333334,1.0,0.8333333333333334,0.8809500000000001
2019-08-13,Green Cabbage,Repollo verde,Kilo,Kilo,250.0,300.0,250.0,268.33,0.4166666666666667,0.5,0.4166666666666667,0.44721666666666665
2019-08-13,Field watermelon (Large),Sandía de campo - grande,Kilo,Kilo,250.0,300.0,250.0,264.29,0.4166666666666667,0.5,0.4166666666666667,0.4404833333333334
2019-08-13,Field watermelon (Medium),Sandía de campo - mediana,Kilo,Kilo,100.0,150.0,150.0,135.71,0.16666666666666666,0.25,0.25,0.22618333333333335
2019-08-13,Taro,Tiquisque,Kilo,Kilo,1600.0,1800.0,1700.0,1700.0,2.6666666666666665,3.0,2.8333333333333335,2.8333333333333335
2019-08-13,Tomato (Premium),Tomate primera,Plastic box (18 kg),Caja plástica (18 kg),13000.0,14000.0,13000.0,13333.33,21.666666666666668,23.333333333333332,21.666666666666668,22.222216666666668
2019-08-13,Tomato (Regular),Tomate segunda,Plastic box (18 kg),Caja plástica (18 kg),11000.0,12500.0,12000.0,11944.44,18.333333333333332,20.833333333333332,20.0,19.9074
2019-08-13,Tomato (Small),Tomate tercera,Plastic box (18 kg),Caja plástica (18 kg),9000.0,11000.0,10000.0,10000.0,15.0,18.333333333333332,16.666666666666668,16.666666666666668
2019-08-13,Green Beans,Vainica,Kilo,Kilo,400.0,600.0,500.0,495.0,0.6666666666666666,1.0,0.8333333333333334,0.825
2019-08-13,Yucca / Casava,Yuca parafinada,Kilo,Kilo,400.0,450.0,450.0,437.5,0.6666666666666666,0.75,0.75,0.7291666666666666
2019-08-13,Carrot (Premium),Zanahoria primera,Mesh (45 kg),Malla (45 kg),15000.0,18000.0,18000.0,16916.67,25.0,30.0,30.0,28.194449999999996
2019-08-15,Hall Avocado,Aguacate criollo,Unit,Unidad,300.0,600.0,400.0,454.55,0.5,1.0,0.6666666666666666,0.7575833333333334
2019-08-15,Garlic (from China),Ajo de China,Box (10 kg),Caja (10 kg),14000.0,15000.0,15000.0,14800.0,23.333333333333332,25.0,25.0,24.666666666666668
2019-08-15,Green celery,Apio verde (mata),Plant,Mata,1400.0,1800.0,1500.0,1510.0,2.3333333333333335,3.0,2.5,2.5166666666666666
2019-08-15,Kabocha Squash / Pumpkin,Ayote sazón,Kilo,Kilo,300.0,400.0,350.0,353.13,0.5,0.6666666666666666,0.5833333333333334,0.58855
2019-08-15,Banana (Export),Banano de exportación,Box,Caja,6300.0,6300.0,6300.0,6300.0,10.5,10.5,10.5,10.5
2019-08-15,Creole Ripe Banana,Banano maduro criollo,Unit,Unidad,25.0,30.0,25.0,27.0,0.041666666666666664,0.05,0.041666666666666664,0.045
2019-08-15,Ripe Banana (Export Rejection),Banano maduro rechazo de exportación,Box,Caja,2000.0,2400.0,2300.0,2240.0,3.3333333333333335,4.0,3.8333333333333335,3.7333333333333334
2019-08-15,Green Banana (Export Rejection),Banano verde rechazo de exportación,Box,Caja,2000.0,2400.0,2300.0,2240.0,3.3333333333333335,4.0,3.8333333333333335,3.7333333333333334
2019-08-15,Broccoli,Brócoli,Kilo,Kilo,600.0,800.0,700.0,680.0,1.0,1.3333333333333333,1.1666666666666667,1.1333333333333333
2019-08-15,Sweet Potato,Camote,Kilo,Kilo,600.0,800.0,700.0,690.63,1.0,1.3333333333333333,1.1666666666666667,1.15105
2019-08-15,Yellow Dried Onion (Big Package),Cebolla seca amarilla burra,Kilo,Kilo,1250.0,1300.0,1300.0,1287.5,2.0833333333333335,2.1666666666666665,2.1666666666666665,2.1458333333333335
2019-08-15,Yellow Dried Onion (Single),Cebolla seca amarilla suelta,Kilo,Kilo,1200.0,1250.0,1200.0,1215.0,2.0,2.0833333333333335,2.0,2.025
